"","age","income","children","credit_history","overdue_payments","active_loans","years_in_job","owns_property","assets_value","other_loans","credit_risk","education_podstawowe","education_średnie","education_wyższe","city_duże","city_małe","city_średnie","marital_status_kawaler/panna","marital_status_rozwiedziony/rozwiedziona","marital_status_żonaty/zamężna","employment_type_brak","employment_type_określona","employment_type_samozatrudnienie","employment_type_stała"
"142",49,14814,1,0,0,3,5,1,14814,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
"143",30,34815,0,1,0,1,15,1,34815,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
"144",45,39863,2,1,0,4,10,1,39863,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
"145",29,40000,1,1,1,1,9,1,40000,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1
"146",47,39310,1,1,1,2,0,1,39310,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
"147",34,40000,3,1,0,1,13,0,40000,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
"148",43,39200,0,0,0,0,10,0,39200,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
"149",51,26813,2,0,1,2,15,0,26813,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
"150",38,38300,0,0,1,1,9,0,38300,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
"151",23,11284,1,0,1,2,15,0,11284,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
"152",33,19512,0,1,0,1,9,0,19512,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
"153",29,35635,0,1,1,1,10,1,35635,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
"154",39,13305,0,1,1,1,14,0,13305,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
"155",31,15644,2,1,1,1,11,1,15644,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
"156",31,40000,4,0,1,4,12,1,40000,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
"157",49,40000,2,1,1,1,4,1,40000,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
"158",33,22275,1,1,0,0,0,0,22275,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
"159",35,32270,1,0,1,2,13,0,32270,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
"160",34,18109,1,1,0,3,12,1,18109,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
"161",40,28169,1,1,1,4,8,0,28169,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
"162",31,12512,0,1,1,2,9,1,12512,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"163",39,22028,1,0,1,1,16,0,22028,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
"164",45,23690,3,1,1,3,4,1,23690,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1
"165",21,21097,0,0,0,1,0,1,21097,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0
"166",23,16621,0,1,0,1,6,1,16621,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1
"167",40,13721,0,1,1,2,0,0,13721,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
"168",42,38764,2,1,0,2,1,1,38764,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
"169",39,17722,2,1,1,2,3,0,17722,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1
"170",27,33116,2,1,1,3,14,0,33116,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
"171",18,19270,5,1,0,2,14,1,19270,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
"172",43,18146,0,1,0,1,14,1,18146,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
"173",40,15604,1,1,0,1,3,1,15604,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
"174",35,25261,0,1,0,3,15,0,25261,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
"175",35,19284,0,1,1,2,7,1,19284,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
"176",37,27066,3,1,1,1,15,1,27066,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
"177",48,12625,0,1,0,2,6,0,12625,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
"178",25,26750,0,0,0,2,18,1,26750,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
"179",35,40000,0,1,1,1,10,0,40000,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
"180",62,7267,1,1,1,3,9,0,7267,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
"181",42,11688,2,1,1,4,10,0,11688,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"182",31,18306,0,1,0,2,14,0,18306,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1
"183",40,19155,0,0,0,2,14,1,19155,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
"184",43,33445,2,0,1,3,6,1,33445,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
"185",35,25439,0,1,1,1,3,0,25439,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
"186",43,26355,0,0,1,0,8,1,26355,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
"187",53,12173,3,1,0,2,11,1,12173,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
"188",32,27752,0,1,0,2,11,1,27752,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1
"189",27,20856,0,1,0,2,13,1,20856,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
"190",46,19897,4,0,1,3,7,1,19897,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
"191",41,25519,0,1,1,3,15,1,25519,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
"192",44,40000,0,0,1,0,7,0,40000,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
"193",44,27555,0,1,0,0,12,1,27555,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1
"194",58,27684,4,1,1,2,16,1,27684,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
"195",53,40000,1,0,1,1,9,0,40000,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
"196",34,19095,2,1,0,2,10,0,19095,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
"197",40,12144,2,1,1,0,4,1,12144,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
"198",18,40000,1,1,1,3,10,1,40000,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0
"199",39,26044,1,1,0,2,6,0,26044,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
"200",37,18371,0,1,0,2,16,1,18371,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0
"201",58,19737,0,0,1,1,8,1,19737,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
"202",40,40000,3,1,0,0,7,0,40000,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
"203",39,35412,0,1,0,1,8,1,35412,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
"204",34,9343,0,1,0,4,0,1,9343,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
"205",32,30909,0,1,1,2,2,0,30909,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
"206",18,22763,0,1,1,0,13,1,22763,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
"207",36,13903,1,1,0,0,9,0,13903,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0
"208",57,24074,0,1,0,1,4,0,24074,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
"209",47,14526,0,1,0,3,16,0,14526,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
"210",44,32518,0,1,0,2,17,1,32518,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0
"211",27,10010,4,1,1,2,5,0,10010,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
"212",37,9709,0,1,1,2,17,1,9709,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
"213",44,17107,3,1,1,0,3,1,17107,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"214",36,17062,3,1,1,0,0,1,17062,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
"215",46,21072,0,1,1,2,15,1,21072,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
"216",36,12855,3,1,1,1,0,1,12855,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
"217",38,7768,0,1,0,1,15,0,7768,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
"218",50,29923,0,1,1,1,11,0,29923,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1
"219",25,40000,0,1,0,2,3,1,40000,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
"220",19,20104,0,1,1,3,20,1,20104,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
"221",42,39631,2,1,1,2,7,1,39631,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
"222",39,40000,0,1,0,2,15,1,40000,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
"223",34,10768,0,1,0,0,14,1,10768,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
"224",43,8420,2,1,1,2,11,1,8420,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
"225",39,19485,2,1,0,0,18,0,19485,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0
"226",39,24359,4,1,1,4,6,0,24359,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
"227",41,30317,0,1,0,1,16,1,30317,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
"228",40,17720,0,1,1,5,8,0,17720,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1
"229",32,12654,0,1,0,1,12,1,12654,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
"230",44,16999,0,0,0,3,18,1,16999,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
"231",22,16829,0,1,1,1,10,1,16829,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
"232",50,13464,1,1,1,3,10,0,13464,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
"233",44,4375,2,0,0,0,4,1,4375,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0
"234",42,40000,2,1,1,2,9,1,40000,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
"235",56,17922,0,1,1,0,7,1,17922,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
"236",33,14571,0,1,1,1,14,0,14571,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
"237",40,18103,0,1,1,1,3,1,18103,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
"238",41,20113,1,1,0,0,13,0,20113,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
"239",32,13757,0,1,0,3,1,1,13757,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
"240",50,12549,0,1,0,3,5,0,12549,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
"241",30,16475,1,1,1,2,12,0,16475,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
"242",66,21988,2,1,0,3,5,1,21988,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
"243",44,20485,0,0,1,1,20,0,20485,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
"244",31,27012,2,1,1,1,13,0,27012,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
"245",47,14021,0,0,1,0,6,1,14021,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
"246",41,27356,1,1,1,2,9,0,27356,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
"247",39,40000,1,0,1,1,11,1,40000,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
"248",32,35117,0,1,1,1,6,0,35117,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
"249",33,32773,2,1,1,1,5,0,32773,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0
"250",58,40000,3,1,0,3,6,1,40000,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0
"251",34,40000,0,0,1,0,12,0,40000,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"252",49,40000,0,1,1,2,8,1,40000,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
"253",32,10035,4,0,1,1,11,0,10035,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
"254",41,11810,0,1,1,1,13,0,11810,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
"255",26,9744,0,1,1,1,9,1,9744,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
"256",46,32987,0,1,1,1,9,0,32987,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
"257",44,21154,0,0,1,3,9,0,21154,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
